age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,juv_fel_count,juv_misd_count,juv_other_count,c_days_from_compas,length_of_stay,two_year_recid
20,F,African-American,Less than 25,Medium,Female,0,0.0,6,0,0,0,1.0,3.0,0
37,M,Caucasian,25 - 45,Low,Male,0,0.0,1,0,0,0,0.0,4.0,0
59,M,African-American,Greater than 45,Low,Male,4,0.0,2,0,0,0,1.0,23.0,0
23,M,African-American,Less than 25,Medium,Female,6,-18.0,7,0,0,0,18.0,426.0,0
32,F,African-American,25 - 45,Medium,Female,5,-1.0,7,0,0,0,1.0,26.0,0
34,F,African-American,25 - 45,Medium,Male,22,-1.0,7,0,0,0,1.0,26.0,1
44,M,Other,25 - 45,Low,Male,0,-1.0,1,0,0,0,1.0,30.0,0
43,F,Caucasian,25 - 45,Low,Male,2,-10.0,1,0,0,0,10.0,45.0,0
59,M,Caucasian,Greater than 45,Low,Male,0,-1.0,2,0,0,0,2.0,22.0,1
24,M,Caucasian,Less than 25,Medium,Female,7,-1.0,7,0,2,0,1.0,27.0,0
58,M,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,0,0,1.0,14.0,0
28,F,Other,25 - 45,Low,Female,1,-1.0,3,0,0,0,1.0,24.0,1
25,F,African-American,25 - 45,Low,Female,1,-13.0,3,0,0,0,13.0,312.0,0
22,F,African-American,Less than 25,Medium,Female,0,-2.0,7,0,0,0,2.0,20.0,0
21,M,Other,Less than 25,Medium,Male,1,-1.0,5,0,0,0,1.0,14.0,1
25,M,Caucasian,25 - 45,High,Male,3,7.0,9,0,0,0,5.0,4128.0,1
23,F,African-American,Less than 25,Low,Male,0,0.0,2,0,0,0,0.0,3.0,0
48,F,Other,Greater than 45,Low,Male,4,-1.0,1,0,0,0,1.0,98.0,1
45,F,Other,Greater than 45,Low,Male,0,0.0,1,0,0,0,1.0,33.0,0
51,F,Caucasian,Greater than 45,Low,Female,4,-11.0,3,0,0,0,11.0,194.0,0
20,F,African-American,Less than 25,High,Male,0,-1.0,9,0,0,0,1.0,20.0,1
23,F,Caucasian,Less than 25,Low,Male,0,-1.0,2,0,0,0,1.0,25.0,0
23,F,African-American,Less than 25,Low,Male,1,-1.0,4,0,0,0,1.0,88.0,1
21,F,African-American,Less than 25,High,Male,1,-1.0,9,0,0,1,1.0,5813.0,1
54,F,Other,Greater than 45,Low,Male,1,-2.0,1,0,0,0,2.0,53.0,0
54,M,African-American,Greater than 45,Low,Male,9,0.0,1,0,0,0,3940.0,24.0,0
49,F,African-American,Greater than 45,Medium,Male,3,0.0,5,0,0,0,1.0,89.0,0
54,F,Caucasian,Greater than 45,Low,Male,0,0.0,1,0,0,0,1.0,8.0,0
37,M,Other,25 - 45,Low,Male,0,-1.0,1,0,0,0,1.0,23.0,0
41,M,African-American,25 - 45,Low,Female,0,0.0,1,0,0,0,0.0,26.0,0
41,F,African-American,25 - 45,Low,Male,8,-1.0,4,0,0,0,1.0,38.0,0
44,M,Caucasian,25 - 45,Low,Male,0,-1.0,1,0,0,0,1.0,4.0,0
25,M,Caucasian,25 - 45,Low,Male,0,-1.0,2,0,0,0,1.0,19.0,0
23,F,African-American,Less than 25,Medium,Male,0,-1.0,6,0,0,0,1.0,45.0,1
27,F,African-American,25 - 45,Medium,Male,6,0.0,7,0,0,0,0.0,46.0,1
34,F,Caucasian,25 - 45,Low,Male,0,-1.0,4,0,0,0,1.0,673.0,0
29,M,African-American,25 - 45,High,Male,8,0.0,9,0,0,0,1.0,29.0,1
44,F,Caucasian,25 - 45,Low,Female,0,-1.0,1,0,0,0,1.0,18.0,1
33,M,African-American,25 - 45,Medium,Male,0,-1.0,7,0,0,0,1.0,19.0,0
62,M,Caucasian,Greater than 45,Low,Male,3,-1.0,1,0,0,0,1.0,13.0,0
55,M,Caucasian,Greater than 45,Medium,Male,11,-1.0,7,0,0,0,338.0,1374.0,0
67,F,Caucasian,Greater than 45,Low,Male,1,-1.0,3,0,0,0,1.0,13.0,0
24,F,African-American,Less than 25,High,Male,5,-1.0,8,5,0,0,1.0,28.0,1
47,M,Caucasian,Greater than 45,Low,Male,1,0.0,1,0,0,0,1.0,5.0,0
39,F,Other,25 - 45,Low,Female,2,0.0,2,0,0,0,0.0,163.0,0
38,M,African-American,25 - 45,Low,Female,0,-1.0,2,0,0,0,1.0,26.0,0
30,F,African-American,25 - 45,Medium,Male,0,0.0,5,0,0,0,0.0,2.0,0
27,F,African-American,25 - 45,Medium,Male,9,-1.0,7,0,0,0,1.0,16.0,1
54,F,African-American,Greater than 45,Low,Male,10,0.0,4,0,0,0,0.0,1.0,1
43,M,Caucasian,25 - 45,Low,Female,0,0.0,2,0,0,0,0.0,4.0,0
29,F,Other,25 - 45,Low,Male,0,0.0,2,0,0,0,0.0,-4.0,0
34,F,Caucasian,25 - 45,High,Female,12,-1.0,10,0,0,0,1.0,73.0,1
25,F,Caucasian,25 - 45,Low,Male,13,-1.0,4,4,0,1,0.0,124.0,1
32,M,Caucasian,25 - 45,Medium,Male,0,-1.0,6,0,0,0,1.0,430.0,1
42,M,Caucasian,25 - 45,Medium,Female,4,5.0,6,0,0,0,63.0,6.0,1
48,F,African-American,Greater than 45,Low,Male,5,-1.0,4,0,0,0,1.0,21.0,1
23,F,Caucasian,Less than 25,Medium,Female,0,-1.0,6,0,0,0,1.0,285.0,0
50,M,Caucasian,Greater than 45,Low,Female,1,-1.0,1,0,0,0,1.0,21.0,1
38,F,Other,25 - 45,Low,Male,2,0.0,1,0,0,0,0.0,198.0,0
34,M,Caucasian,25 - 45,Low,Male,0,-1.0,4,0,0,0,1.0,21.0,0
25,F,African-American,25 - 45,High,Male,7,-1.0,10,0,1,0,1.0,485.0,1
37,F,African-American,25 - 45,High,Male,23,-1.0,9,0,0,0,1.0,414.0,1
21,M,Caucasian,Less than 25,Medium,Male,4,-1.0,7,0,1,0,1.0,793.0,1
25,M,African-American,25 - 45,High,Male,11,-1.0,8,0,0,0,2.0,12766.0,1
53,F,African-American,Greater than 45,Medium,Male,8,-1.0,6,0,0,0,1.0,127.0,1
25,F,African-American,25 - 45,High,Male,0,0.0,8,0,0,0,1.0,-5.0,1
59,F,African-American,Greater than 45,High,Male,8,-23.0,8,0,0,0,24.0,211.0,1
29,M,Other,25 - 45,Medium,Male,4,-1.0,5,0,0,0,1.0,20.0,1
46,M,Caucasian,Greater than 45,Low,Female,0,-1.0,1,0,0,0,1.0,24.0,0
32,F,African-American,25 - 45,Low,Male,0,-1.0,2,0,0,0,1.0,27.0,0
39,F,African-American,25 - 45,High,Male,13,-1.0,8,0,0,0,1.0,47.0,1
45,M,Caucasian,Greater than 45,Low,Male,2,0.0,1,0,0,0,0.0,5.0,0
53,M,African-American,Greater than 45,Low,Male,1,-1.0,2,0,0,0,1.0,14.0,0
22,F,African-American,Less than 25,Medium,Female,0,0.0,7,0,0,0,1.0,6.0,0
38,F,Other,25 - 45,Low,Male,3,-21.0,4,0,0,0,21.0,5.0,0
21,F,African-American,Less than 25,Low,Male,1,-1.0,3,0,1,0,2.0,-6.0,0
36,F,African-American,25 - 45,Medium,Female,0,-1.0,7,0,0,0,1.0,288.0,0
35,F,African-American,25 - 45,Medium,Male,9,-1.0,6,0,0,0,1.0,28.0,0
26,F,Other,25 - 45,Low,Male,0,-1.0,1,0,0,0,1.0,53.0,1
24,F,African-American,Less than 25,High,Female,6,-1.0,9,1,0,0,1.0,625.0,1
30,M,Other,25 - 45,Low,Female,3,-1.0,3,0,0,0,1.0,24.0,1
50,F,Other,Greater than 45,Medium,Male,5,0.0,7,0,0,0,0.0,270.0,1
35,M,Caucasian,25 - 45,High,Male,0,-1.0,10,0,0,0,1.0,383.0,1
25,F,Caucasian,25 - 45,Low,Female,0,-1.0,4,0,0,0,1.0,26.0,0
28,F,African-American,25 - 45,Medium,Male,4,-1.0,7,0,0,0,1.0,717.0,0
43,M,Other,25 - 45,Low,Male,2,-12.0,1,0,0,0,12.0,100.0,1
27,F,African-American,25 - 45,Medium,Male,2,-1.0,5,0,0,0,0.0,47.0,0
28,M,African-American,25 - 45,Low,Female,0,-1.0,3,0,0,0,1.0,24.0,0
27,M,African-American,25 - 45,Low,Female,0,-1.0,3,0,0,0,1.0,95.0,1
26,F,Caucasian,25 - 45,Low,Male,2,0.0,4,0,0,0,1.0,38.0,0
38,F,African-American,25 - 45,Medium,Male,3,0.0,5,0,0,0,1.0,29.0,0
35,F,Other,25 - 45,Medium,Male,7,0.0,7,0,0,0,0.0,25.0,0
42,F,Caucasian,25 - 45,Low,Male,1,-1.0,1,0,0,0,1.0,19.0,0
58,M,African-American,Greater than 45,Low,Female,3,-18.0,1,0,0,0,1.0,440.0,0
43,M,Caucasian,25 - 45,Low,Male,6,-1.0,2,0,0,0,1.0,15.0,1
58,F,Caucasian,Greater than 45,Low,Male,2,-9.0,3,0,0,0,9.0,115.0,0
40,M,Other,25 - 45,Low,Male,4,-1.0,1,0,0,0,1.0,54.0,1
57,F,African-American,Greater than 45,Medium,Male,8,-1.0,5,0,0,0,1.0,2397.0,1
27,F,African-American,25 - 45,Low,Male,1,-1.0,4,0,1,0,1.0,192.0,0
38,M,Caucasian,25 - 45,Low,Male,2,-1.0,1,0,0,0,1.0,29.0,0
34,F,Other,25 - 45,Low,Male,1,-1.0,2,0,0,0,1.0,96.0,0
52,F,Other,Greater than 45,Low,Male,5,-1.0,3,0,0,0,1.0,164.0,1
24,F,African-American,Less than 25,Medium,Female,0,-1.0,7,0,0,0,1.0,19.0,0
23,F,African-American,Less than 25,High,Male,2,-1.0,9,0,0,0,1.0,144.0,1
27,F,Caucasian,25 - 45,High,Male,1,-1.0,9,0,0,0,1.0,27.0,0
37,F,African-American,25 - 45,Low,Female,3,-1.0,1,0,0,0,1.0,697.0,0
46,M,Caucasian,Greater than 45,Low,Male,1,-2.0,1,0,0,0,2.0,46.0,0
24,F,African-American,Less than 25,Low,Female,4,-1.0,3,0,0,0,1.0,51.0,1
28,M,Caucasian,25 - 45,Medium,Female,1,0.0,5,0,0,0,0.0,3.0,1
26,M,African-American,25 - 45,Low,Male,0,-1.0,2,0,0,0,1.0,53.0,0
24,M,African-American,Less than 25,Medium,Female,0,-1.0,6,0,0,0,1.0,24.0,0
21,F,African-American,Less than 25,Low,Male,0,-1.0,3,0,0,0,1.0,45.0,1
50,M,African-American,Greater than 45,Medium,Male,2,-28.0,5,0,0,0,6.0,20.0,1
46,M,African-American,Greater than 45,Low,Male,0,0.0,2,0,0,0,0.0,25.0,0
53,M,Caucasian,Greater than 45,Low,Male,1,-1.0,1,0,0,0,1.0,119.0,1
35,F,African-American,25 - 45,Low,Male,5,-1.0,3,0,0,0,1.0,23.0,0
30,M,African-American,25 - 45,Medium,Female,0,-1.0,5,0,0,0,1.0,23.0,1
